Size_1	User_11	-1.0
Size_1	User_12	1.0
Size_1	User_13	-1.0
Size_1	User_14	1.0
Size_1	User_15	-0.5
Size_2	User_26	-0.5
Size_2	User_27	-1.0
Size_2	User_28	-1.0
Size_2	User_29	-0.5
Size_2	User_30	-1.0
Size_3	User_6	-1.0
Size_3	User_7	-1.0
Size_3	User_8	-1.0
Size_3	User_9	-1.0
Size_3	User_10	-1.0
Size_4	User_11	-1.0
Size_4	User_12	1.0
Size_4	User_13	-1.0
Size_4	User_14	1.0
Size_4	User_15	1.0
Size_5	User_21	-1.0
Size_5	User_22	-1.0
Size_5	User_23	1.0
Size_5	User_24	-1.0
Size_5	User_25	-1.0
Size_6	User_1	-1.0
Size_6	User_2	-0.5
Size_6	User_3	-1.0
Size_6	User_4	-0.5
Size_6	User_5	-1.0
Size_7	User_21	-1.0
Size_7	User_22	-1.0
Size_7	User_23	1.0
Size_7	User_24	-1.0
Size_7	User_25	-1.0
Size_8	User_21	-1.0
Size_8	User_22	-1.0
Size_8	User_23	1.0
Size_8	User_24	-1.0
Size_8	User_25	-1.0
Size_9	User_6	-1.0
Size_9	User_7	-1.0
Size_9	User_8	-1.0
Size_9	User_9	-1.0
Size_9	User_10	-0.5
Size_10	User_11	-1.0
Size_10	User_12	0.5
Size_10	User_13	-1.0
Size_10	User_14	1.0
Size_10	User_15	1.0
Size_11	User_6	-0.5
Size_11	User_7	1.0
Size_11	User_8	-0.5
Size_11	User_9	1.0
Size_11	User_10	0.5
Size_12	User_26	0.5
Size_12	User_27	0.5
Size_12	User_28	-0.5
Size_12	User_29	-0.5
Size_12	User_30	-1.0
Size_13	User_16	1.0
Size_13	User_17	0.5
Size_13	User_18	1.0
Size_13	User_19	0.5
Size_13	User_20	1.0
Size_14	User_1	1.0
Size_14	User_2	1.0
Size_14	User_3	0.5
Size_14	User_4	0.5
Size_14	User_5	-0.5
Size_15	User_11	-0.5
Size_15	User_12	0.5
Size_15	User_13	1.0
Size_15	User_14	1.0
Size_15	User_15	0.5
Size_16	User_6	-1.0
Size_16	User_7	-1.0
Size_16	User_8	-0.5
Size_16	User_9	-0.5
Size_16	User_10	0.0
Size_17	User_21	-1.0
Size_17	User_22	-1.0
Size_17	User_23	1.0
Size_17	User_24	-1.0
Size_17	User_25	-1.0
Size_18	User_26	-0.5
Size_18	User_27	-0.5
Size_18	User_28	0.0
Size_18	User_29	-0.5
Size_18	User_30	-1.0
Size_19	User_21	-1.0
Size_19	User_22	-1.0
Size_19	User_23	1.0
Size_19	User_24	-1.0
